node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
2,1.1 什么是数据结构,3,"数据结构是相互之间存在一种或多种特定关系的数据元素的集合，研究数据的逻辑结构、物理结构及其基本操作。","逻辑结构（集合/线性/树/图） | 物理结构（顺序/链式） | 基本操作 | 数据元素间关系","数据结构 | 逻辑结构 | 物理结构 | 存储结构","[]","混淆逻辑结构与物理结构；忽略数据元素间的关系","不涉及具体数据结构的算法实现细节","需了解程序设计语言基础和基本数据类型概念"
3,1.2 基本概念和术语,3,"数据、数据元素、数据项、数据对象是数据结构中的基本概念，数据结构包含逻辑结构和物理结构两大方面。","数据（Data） | 数据元素（Element） | 数据项（Item） | 数据对象（Object） | 数据结构（Structure）","数据 | 数据元素 | 数据项 | 数据对象 | 数据结构","[]","将数据元素与数据项混淆；不理解数据对象与数据结构的区别","不涉及具体算法设计和分析","需先掌握1.1数据结构的基本概念"
4,1.3 抽象数据类型的表示与实现,3,"抽象数据类型（ADT）是指一个数学模型及定义在该模型上的一组操作，由数据对象、关系集和操作集三元组表示。","数据对象 | 关系集 | 操作集 | 抽象性 | 封装性","抽象数据类型 | ADT | 数据对象 | 关系集 | 操作集","[]","将ADT与具体编程语言的类/结构体混淆；忽略操作集的规范定义","不涉及具体存储实现和算法复杂度","需理解数据结构的基本概念和术语"
5,1.4 算法和算法分析,3,"算法是对特定问题求解步骤的一种描述，具有有穷性、确定性等五个特性，算法分析用于度量算法效率。","五个特性（有穷/确定/可行/输入/输出） | 时间复杂度 | 空间复杂度 | 渐近分析","算法 | 时间复杂度 | 空间复杂度 | 渐近符号","T(n)=O(f(n))","忽略算法的有穷性要求；混淆时间复杂度与空间复杂度","不涉及具体算法实现代码","需掌握基本概念和术语以及ADT"
6,1.4.1 算法,4,"算法是解决特定问题的有限指令序列，必须满足有穷性、确定性、可行性、输入和输出五个基本特性。","有穷性 | 确定性 | 可行性 | 输入 | 输出","算法 | 有穷性 | 确定性 | 可行性","[]","遗漏算法五个特性中的任何一个；认为算法可以无限执行","不涉及算法效率分析","需先了解算法和算法分析的整体框架"
7,1.4.2 算法设计的要求,4,"好的算法应具备正确性、可读性、健壮性、高效性和低存储量等基本设计要求。","正确性 | 可读性 | 健壮性 | 高效性 | 低存储量","正确性 | 可读性 | 健壮性 | 效率","[]","只追求效率而忽略可读性和健壮性；不了解正确性的层次划分","不涉及具体算法的实现和分析","需先理解算法的基本概念和五个特性"
8,1.4.3 算法效率的度量,4,"算法效率通过时间复杂度和空间复杂度来度量，时间复杂度表示算法执行时间随问题规模增长的增长率。","时间复杂度 | 空间复杂度 | O记号 | Ω记号 | Θ记号","时间复杂度 | 空间复杂度 | O | Ω | Θ","T(n)=O(f(n)) | S(n)=O(g(n))","混淆最好/最坏/平均时间复杂度；忽略常数因子的影响","不涉及具体算法的实现细节","需掌握算法的五个特性及设计要求"
9,1.4.4 算法的存储空间需求,4,"算法的存储空间需求包括算法本身、输入数据和辅助空间三部分，空间复杂度衡量算法执行所需的额外存储空间。","算法空间 | 输入空间 | 辅助空间 | 空间复杂度","空间复杂度 | 辅助空间 | 存储空间","S(n)=O(f(n))","将总空间与额外辅助空间混淆；忽略递归调用的空间消耗","不涉及时间复杂度分析","需先掌握算法效率度量的时间复杂度部分"
11,2.1 线性表的类型定义,3,"线性表是具有相同数据类型的n个数据元素的有限序列，支持插入、删除、查找等基本操作，元素间存在一对一的线性关系。","有限序列 | 相同数据类型 | 一对一关系 | 长度 | 前驱/后继","线性表 | 有限序列 | 前驱 | 后继 | 长度","[]","忽略线性表的有限性要求；混淆线性表与数组的概念","不涉及具体存储实现和算法效率","需掌握数据结构基本概念和ADT"
12,2.2 线性表的顺序表示和实现,3,"线性表的顺序存储是用一段地址连续的存储单元依次存储线性表中的数据元素，支持随机访问。","连续存储 | 随机访问 | 数组实现 | 插入/删除需移动元素","顺序表 | 数组 | 随机访问 | 地址连续","LOC(ai)=LOC(a1)+(i-1)*sizeof(元素)","认为顺序表插入删除不需要移动元素；忽略存储空间预分配问题","不涉及链式存储和非线性结构","需掌握线性表的类型定义和数组基础"
