node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
561,4 网络层,2,网络层负责将分组从源主机传送到目的主机，提供主机到主机的通信服务,分组转发 | 路由选择 | 虚拟互连 | 网络寻址 | 服务质量,网络层 | 分组 | 路由器 | 转发,[],误将网络层功能与数据链路层混淆 | 忽略网络层提供的是一种尽力而为的服务,不涉及具体路由协议的内部实现细节,需掌握数据链路层和物理层的基本原理
562,4.1 网络层提供的两种服务,3,网络层向运输层提供数据报和虚电路两种服务模式,数据报服务 | 虚电路服务 | 面向连接 | 无连接 | 可靠性保证,数据报 | 虚电路 | 端到端 | 尽力而为,[],认为Internet网络层提供可靠服务 | 混淆数据报与虚电路的适用场景,不涉及具体网络层协议的实现,需理解网络层在协议栈中的位置
563,4.2 网际协议IP,3,IP协议是TCP/IP体系中最核心的网络层协议实现无连接的数据报服务,无连接 | 不可靠 | 尽力而为 | 分组交换 | 网际互连,IP协议 | 数据报 | 分组 | 路由,[],认为IP协议提供可靠传输 | 忽略IP协议的不可靠性特点,不涉及IPv6等后续版本,需掌握网络层两种服务的基本概念
564,4.2.1 虚拟互连网络,4,通过IP协议屏蔽底层网络差异使各种网络在逻辑上互连成统一网络,IP协议 | 标准化 | 逻辑互连 | 协议转换 | 网络抽象,虚拟互连 | 互联网 | 网际网 | IP网,[],认为虚拟互连网络是物理连接 | 忽略路由器在网络互连中的作用,不涉及具体路由协议,需理解网络层的基本功能
565,4.2.2 分类的IP地址,4,将IP地址划分为A类B类C类D类E类五类以适应不同规模网络,点分十进制 | 网络号 | 主机号 | 类别划分 | 地址分配,A类地址 | B类地址 | C类地址 | 特殊地址,网络号位数=32-主机号位数 | 可用主机数=2^主机号位数-2,误将网络号与主机号混淆 | 忘记网络地址和广播地址不可分配,不涉及无分类编址CIDR,需掌握二进制与十进制转换
566,4.2.3 IP地址与硬件地址,4,IP地址是网络层逻辑地址硬件地址是数据链路层物理地址,层次结构 | 全局唯一 | 局部唯一 | 地址解析 | 协议层次,IP地址 | MAC地址 | 硬件地址 | 地址映射,[],混淆IP地址与硬件地址的层次 | 认为ARP工作在网络层,不涉及IPv6的地址解析,需理解OSI模型各层的地址概念
567,4.2.4 地址解析协议ARP,4,将网络层IP地址解析为数据链路层硬件地址用于同一局域网内通信,请求广播 | 应答单播 | 缓存机制 | 地址映射 | 逐跳解析,ARP | RARP | ARP缓存 | MAC地址,[],认为ARP是网络层协议 | 忽略ARP只能在同一局域网使用,不涉及跨网段的地址解析,需掌握IP地址和硬件地址的概念
568,4.2.5 IP数据报的格式,4,IP数据报由首部和数据两部分组成首部包含版本首部长度等字段,版本 | 首部长度 | 总长度 | 标识 | 片偏移,首部长度 | TTL | 协议 | 校验和,首部长度单位为4字节 | TTL每经过路由器减1,不涉及IP选项字段的详细内容,需理解IP地址的结构
569,4.2.6 IP层转发分组的流程,4,路由器根据路由表中的目的网络地址进行逐跳转发直至到达目的主机,查表转发 | 默认路由 | 路由聚合 | 逐跳转发 | 下一跳,路由表 | 默认路由 | 下一跳地址,转发只看目的网络不看目的主机 | 默认路由的优先级最低,不涉及路由表的构建过程,需掌握IP地址的分类方法
570,4.3 划分子网和构造超网,3,通过子网划分提高IP地址利用率通过CIDR实现地址聚合,子网掩码 | 地址复用 | 路由聚合 | CIDR | 前缀编址,子网掩码 | 超网 | CIDR | 路由聚合,子网掩码中1表示网络位0表示主机位 | 子网划分会减少可用主机数,不涉及IPv6的地址分配,需掌握分类IP地址的知识
571,4.3.1 划分子网,4,从主机号借用若干位作为子网号实现网络的层次化管理,借用主机位 | 子网掩码 | 两级变三级 | 地址利用率,子网号 | 子网掩码 | CIDR记法,划分子网后IP地址结构变为网络号+子网号+主机号 | 子网号全0和全1的子网在早期不可用,不涉及超网的构造方法,需理解IP地址的分类结构
572,4.3.2 使用子网时分组的转发,4,路由器使用子网掩码进行逐位与运算确定目的网络,子网掩码运算 | 逐位与 | 最长前缀匹配 | 默认路由,最长前缀匹配 | 子网掩码与运算,转发时用目的IP地址与子网掩码逐位与得到网络地址 | 忽略子网掩码导致转发错误,不涉及路由协议的路由表构建,需掌握子网掩码的基本概念
573,4.3.3 无分类编址CIDR（构造超网）,4,取消传统分类采用网络前缀记法实现路由聚合和地址复用,网络前缀 | 斜线记法 | 路由聚合 | 超网 | 地址块,CIDR | 前缀长度 | 地址块 | 路由汇聚,[CIDR地址块大小=2^(32-前缀长度)],将CIDR与子网划分混淆 | 忘记CIDR地址块大小计算,不涉及IPv6的地址编址,需掌握子网划分和子网掩码
574,4.4 网际控制报文协议ICMP,3,ICMP用于在IP网络中传递控制信息和错误报告,差错报告 | 查询报文 | 目的不可达 | 超时 | 参数问题,ICMP | Ping | Traceroute | 差错报告报文,认为ICMP是独立协议 | 混淆ICMP差错报文与查询报文,不涉及ICMPv6的详细内容,需掌握IP协议的基本原理
575,4.4.1 ICMP报文的种类,4,ICMP报文分为差错报告报文和查询报文两大类,终点不可达 | 时间超过 | 参数问题 | 源点抑制 | 路由重定向,差错报文 | 查询报文 | 终点不可达 | 超时,[],认为所有ICMP报文都是差错报告 | 忽略源点抑制报文已被弃用,不涉及ICMPv6报文类型,需理解ICMP在IP协议中的作用
576,4.4.2 ICMP的应用举例,4,ICMP的典型应用包括Ping命令和Traceroute追踪路由,Ping诊断 | Traceroute追踪 | 往返时间 | TTL递增,Ping | Traceroute | 往返时间RTT | TTL,[],认为Ping使用TCP协议 | 忽略Traceroute利用ICMP超时机制,不涉及ICMP的高级诊断应用,需掌握ICMP报文的种类
577,4.5 互联网的路由选择协议,3,路由选择协议用于构建和维护路由器中的路由表实现分组转发,静态路由 | 动态路由 | 路由算法 | 收敛性 | 稳定性,RIP | OSPF | BGP | 路由表,[],混淆内部网关协议与外部网关协议 | 认为所有路由协议使用相同算法,不涉及路由器硬件实现,需掌握IP转发分组的流程
578,4.5.1 有关路由选择协议的几个基本概念,4,自治系统是单一技术管理下的网络集合路由协议分为内部和外部两类,自治系统 | 内部网关协议 | 外部网关协议 | 路由收敛 | 路由震荡,IGP | EGP | 自治系统AS | 路由聚合,自治系统内部使用IGP之间使用EGP | 混淆IGP和EGP的概念,不涉及具体协议的报文格式,需理解路由选择的基本原理
579,4.5.2 内部网关协议RIP,4,RIP是一种基于距离向量的内部网关协议使用跳数作为度量,跳数度量 | 周期更新 | 距离向量 | 慢收敛 | 水平分割,RIP | 跳数 | 距离向量 | 慢收敛,RIP最大跳数为15 | RIP的收敛速度较慢,不涉及RIP的报文封装细节,需掌握自治系统和IGP的概念
580,4.5.3 内部网关协议OSPF,4,OSPF是一种基于链路状态的内部网关协议使用Dijkstra算法计算最短路径,链路状态 | 区域划分 | 触发更新 | 分层设计 | 负载均衡,OSPF | 链路状态 | Dijkstra | 区域,OSPF使用组播发送更新 | OSPF支持区域划分减少路由表规模,不涉及OSPF的LSA详细类型,需掌握链路状态路由的基本原理
581,4.5.4 外部网关协议BGP,4,BGP用于在自治系统之间交换路由信息是互联网唯一的外部网关协议,路径向量 | TCP连接 | 策略路由 | 稳定性 | 属性传递,BGP | 路径向量 | AS路径 | 属性,BGP使用TCP端口179建立连接 | BGP的路由选择基于策略而非度量,不涉及BGP-4的高级特性,需理解自治系统间路由的需求
582,4.5.5 路由器的构成,4,路由器由输入端口输出端口交换结构和路由处理器组成,端口缓冲 | 交换结构 | 查表转发 | 分组调度 | 控制处理,路由表 | 转发表 | 交换结构 | 调度算法,混淆路由表与转发表 | 忽略路由器的输入输出队列,不涉及路由器的硬件实现细节,需掌握路由选择协议的基本概念
583,4.6 IPv6,3,IPv6是下一代互联网协议解决地址耗尽等问题并简化首部格式,128位地址 | 简化首部 | 扩展首部 | 即插即用 | 安全性,IPv6 | 扩展首部 | 邻居发现 | 双栈,认为IPv6只是地址变长 | 忽略IPv6首部简化的意义,不涉及IPv6的高级路由特性,需掌握IPv4的地址和协议
584,4.6.1 IPv6的基本首部,4,IPv6首部固定40字节去掉IPv4的可变长度字段提高处理效率,固定首部 | 简化字段 | 流标签 | 通信量类别 | 跳数限制,基本首部 | 流标签 | 跳数限制 | 下一首部,[],将IPv6首部与IPv4首部混淆 | 忽略跳数限制与TTL的区别,不涉及IPv6扩展首部的详细格式,需理解IPv4数据报的格式
585,4.6.2 IPv6的地址,4,IPv6采用128位地址支持多种地址类型和分配方式,单播 | 多播 | 任播 | 冒号十六进制 | 前缀表示,链路本地地址 | 站点本地地址 | 全局单播地址,IPv6地址长度为128位 | 冒号十六进制可省略前导零,不涉及IPv6地址的详细分配策略,需掌握IPv4地址的分类方法
586,4.6.3 从IPv4向IPv6过渡,4,采用双栈技术和隧道技术实现IPv4到IPv6的平滑过渡,双栈技术 | 隧道技术 | 协议转换 | 过渡策略 | 兼容机制,双栈 | 隧道 | 翻译 | 过渡,认为IPv6与IPv4完全不兼容 | 忽略过渡技术的复杂性,不涉及具体的过渡设备实现,需理解IPv4和IPv6的基本区别
587,4.6.4 ICMPv6,4,ICMPv6集成了ICMPv4的功能并增加了邻居发现等重要机制,差错报告 | 查询 | 邻居发现 | 地址解析 | 路由器发现,ICMPv6 | 邻居发现ND | 路由器请求RS,ICMPv6包含差错报文和信息报文两大类 | 忽略ICMPv6的邻居发现功能,不涉及ICMPv6的完整报文类型,需掌握ICMPv4的基本原理
588,4.7 IP多播,3,IP多播实现一对多的通信减少网络带宽消耗,多播组 | 组成员管理 | 多播路由 | 树形转发 | 组播地址,D类地址 | IGMP | 多播路由 | 组成员,[],认为多播就是广播 | 混淆IP多播与硬件多播的层次,不涉及复杂的多播路由协议,需理解IP地址的分类
589,4.7.1 IP多播的基本概念,4,IP多播将数据报交付给一组目的主机实现高效的一对多通信,多播组地址 | 组成员管理 | 多播转发 | 最短路径树,D类地址 | 多播组 | 组播树,多播地址只用于目的地址 | 多播数据报不产生ICMP差错报告,不涉及多播路由协议的详细算法,需掌握IP多播的基本概念
590,4.7.2 在局域网上进行硬件多播,4,通过将IP多播地址映射到MAC多播地址实现局域网内的多播,地址映射 | 组播MAC | 位映射 | 以太网多播,MAC多播地址 | 组播帧,MAC多播地址的低23位直接映射IP多播地址 | 忽略以太网广播与多播的区别,不涉及跨网段的硬件多播,需理解IP多播地址的结构
