node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
35,4.1 串类型的定义,3,"串(String)是由零个或多个字符组成的有限序列,是数据元素为字符的线性表。串长为串中字符个数,空串长度为0。","字符序列 | 有限序列 | 串长 | 空串 | 子串","串(String) | 串长(length) | 空串 | 子串(substring) | 主串 | 串相等",,"将串与字符数组概念混淆;忽略空串和空格串的区别;子串位置从0还是1开始判断出错","不涉及串的具体存储实现和算法;不涉及模式匹配;不涉及字符编码(ASCII/Unicode)细节","线性表的基本概念和操作"
36,4.2 串的表示和实现,3,"串有三种主要存储方式:定长顺序存储、堆分配存储和块链存储。不同存储方式在空间和操作效率上各有特点。","定长顺序存储 | 堆分配存储 | 块链存储 | 动态分配 | 静态分配","顺序存储 | 堆分配(Heap) | 块链存储 | 动态内存分配",,"混淆三种存储方式的适用场景;不理解堆分配与定长顺序存储的本质区别","不涉及串的具体操作算法(连接、截取等);不涉及模式匹配;不涉及存储结构的具体C语言实现细节","串类型定义与线性表顺序存储"
37,4.2.1 定长顺序存储表示,4,"用固定长度数组存储串,数组长度在编译时确定。实际串长不超过数组最大长度MAXLEN,超出部分被截断。","固定长度数组 | MAXLEN | 截断处理 | 静态分配 | 存储密度","定长顺序存储 | MAXLEN | 截断(truncation)",,"不处理截断问题导致数据丢失;混淆实际串长与数组长度","不涉及堆分配和块链存储;不涉及串的动态扩容;不涉及模式匹配算法","串的存储概念和数组基础"
38,4.2.2 堆分配存储表示,4,"在程序运行时通过malloc动态分配内存存储串,串长可变。需要手动管理内存,用完需free释放。","动态内存分配 | malloc/free | 串长可变 | 手动内存管理","堆分配(Heap Allocation) | malloc | free | 动态分配",,"内存分配后不检查是否成功;忘记释放内存导致泄漏;野指针问题","不涉及定长顺序存储和块链存储;不涉及串的模式匹配;不涉及自动内存管理","定长顺序存储与C语言指针"
39,4.2.3 串的块链存储表示,4,"将串用链表存储,每个节点存放若干个字符。节点大小影响存储密度和操作效率,需平衡空间与时间。","链表存储 | 节点大小 | 存储密度 | 剩余空间","块链存储 | 节点大小(node size) | 存储密度",,"不理解节点大小对存储密度的影响;块链存储的插入删除操作复杂度分析错误","不涉及定长顺序存储和堆分配;不涉及串的模式匹配;不涉及链表的通用操作","链表基础与串的顺序存储"
40,4.3 串的模式匹配算法,3,"在主串中查找子串(模式串)位置的过程,是串最重要的操作之一。主要有朴素算法和KMP算法。","模式匹配 | 朴素匹配 | KMP算法 | 前缀函数 | 失配处理","模式匹配(Pattern Matching) | 朴素算法(Brute Force) | KMP算法 | next数组 | nextval数组",,"混淆朴素算法与KMP算法的时间复杂度;不理解next数组的物理含义","不涉及串的其他操作(连接、替换等);不涉及串的存储结构;不涉及多模式匹配","串的基本操作与子串概念"
41,4.3.1 求子串位置的定位函数 Index(S,T,pos),4,"从主串S的第pos个字符起查找子串T首次出现的位置。朴素算法逐字符比较,最坏时间复杂度O(n*m)。","逐字符比较 | 回溯 | 位置定位 | 最坏复杂度","定位函数 Index | 朴素模式匹配 | 回溯(backtracking)",,"回溯时i和j的移动逻辑搞混;最坏情况分析错误;忽略pos参数的含义","不涉及KMP算法的优化;不涉及串的存储结构;不涉及多模式匹配","串的模式匹配基础概念"
42,4.3.2 模式匹配的一种改进算法,4,"即KMP算法,利用已匹配信息避免回溯,通过next数组记录前缀后缀关系,将时间复杂度优化至O(n+m)。","next数组 | 前缀后缀 | 无回溯匹配 | O(n+m)","KMP算法 | next数组 | 前缀函数(prefix function) | 最长相等前后缀","next[j] = 0, 当j=1时 | next[j] = max{k | 1<k<j且T1...Tk-1 = Tj-k+1...Tj-1} | next[j] = 1, 其他情况","next数组的递推求解过程不理解;KMP算法中i不回溯的原因说不清;nextval数组与next数组的区别搞混","不涉及朴素算法的详细回溯过程;不涉及串的存储结构;不涉及多模式匹配算法","朴素模式匹配算法与前缀概念"
43,4.4 串操作应用举例,3,"串的典型应用包括文本编辑和建立词索引表,展示了串操作在实际系统中的重要价值。","文本编辑 | 词索引 | 串操作综合应用","文本编辑(Text Editing) | 词索引表(Index Table)",,"不理解串操作与实际应用的联系;忽略算法效率对实际系统的影响","不涉及串的存储结构和模式匹配算法;不涉及文本编辑器的具体实现;不涉及自然语言处理","串的基本操作与模式匹配"
44,4.4.1 文本编辑,4,"将文本作为字符流处理,支持插入、删除、查找替换等操作。利用串操作实现行编辑和字符定位。","字符流 | 行编辑 | 查找替换 | 光标定位","文本编辑 | 字符流(Character Stream) | 行缓冲",,"忽略文本编辑中效率优化的重要性;不理解缓冲区的作用","不涉及串的存储结构和模式匹配;不涉及编辑器UI实现;不涉及文件系统操作","串的基本操作与文本处理概念"
45,4.4.2 建立词索引表,4,"将文档中的关键词提取出来建立索引,记录每个词出现的位置。需要分词和位置记录。","关键词提取 | 位置记录 | 索引结构 | 分词","词索引表 | 关键词(Keyword) | 位置列表",,"不理解索引的加速作用;忽略大小写处理和标点符号问题","不涉及串的存储结构和模式匹配;不涉及全文检索系统;不涉及中文分词","串操作与查找算法基础"
47,5.1 数组的定义,3,"数组是线性表的推广,元素本身可以是数组,形成多维结构。数组元素可通过下标随机访问。","多维结构 | 下标访问 | 元素类型一致 | 固定长度","数组(Array) | 下标(Index) | 维度(Dimension) | 数组长度",,"混淆数组与线性表的区别;不理解多维数组的逻辑结构","不涉及数组的存储实现;不涉及矩阵运算;不涉及稀疏数组","线性表的概念"
48,5.2 数组的顺序表示和实现,3,"数组采用顺序存储,通过计算元素地址实现随机访问。行优先和列优先是两种不同的存储映射方式。","顺序存储 | 行优先 | 列优先 | 地址计算","行优先(Row-Major) | 列优先(Column-Major) | 存储映射","LOC(i,j) = LOC(0,0) + (i*n + j) * size (行优先) | LOC(i,j) = LOC(0,0) + (j*m + i) * size (列优先)","行列优先的地址计算公式记混;数组起始下标是0还是1出错","不涉及矩阵压缩存储;不涉及稀疏矩阵;不涉及数组的动态分配","数组的定义与顺序存储概念"
49,5.3 矩阵的压缩存储,3,"对特殊矩阵(对称、三角、对角矩阵)和稀疏矩阵采用压缩存储,节省空间。需掌握映射关系和三元组表。","特殊矩阵 | 稀疏矩阵 | 压缩存储 | 三元组","压缩存储 | 特殊矩阵 | 稀疏矩阵(Sparse Matrix) | 三元组(Triple)",,"不理解压缩存储的映射关系;稀疏矩阵转置的逻辑搞错","不涉及数组的一般顺序存储;不涉及广义表;不涉及矩阵的数值计算","数组顺序存储与地址计算"
50,5.3.1 特殊矩阵,4,"对称矩阵、三角矩阵、对角矩阵等具有特殊结构的矩阵,可将二维数据映射到一维数组,避免存储重复元素。","对称矩阵 | 三角矩阵 | 对角矩阵 | 映射公式","对称矩阵 | 上三角 | 下三角 | 对角矩阵 | 带状矩阵","对称矩阵: k = i(i-1)/2 + j-1 (i>=j)","映射公式下标从0还是1开始搞混;对称矩阵只存储上三角或下三角的选择不当","不涉及稀疏矩阵;不涉及矩阵的数值运算;不涉及广义表","矩阵压缩存储的概念"
51,5.3.2 稀疏矩阵,4,"非零元素个数远少于矩阵元素总数的矩阵。采用三元组顺序表或十字链表存储,需特殊算法完成矩阵运算。","三元组表 | 十字链表 | 稀疏度 | 转置算法","三元组(Triple) | 十字链表 | 稀疏矩阵转置 | 快速转置",,"稀疏矩阵转置时行列值交换出错;十字链表的链接关系搞混;不理解快速转置的时间复杂度优势","不涉及特殊矩阵的压缩存储;不涉及矩阵的数值计算;不涉及广义表","矩阵压缩存储基础与链表"
52,5.4 广义表的定义,3,"广义表是线性表的推广,元素可以是原子或子表。广义表有长度和深度两个重要属性。","原子 | 子表 | 长度 | 深度 | 递归定义","广义表(Generalized List) | 原子(Atom) | 子表(Sublist) | 表头(Head) | 表尾(Tail)",,"混淆广义表与线性表;表头表尾的定义搞错;深度计算方法出错","不涉及广义表的存储结构;不涉及广义表的递归算法;不涉及m元多项式","线性表与递归概念"
53,5.5 广义表的存储结构,3,"广义表用链式存储,节点分为原子节点和子表节点。头尾指针分别指向表头和表尾。","链式存储 | 头指针 | 尾指针 | 节点类型","广义表存储 | 头尾链表 | 扩展线性链表",,"原子节点和子表节点的区分出错;表尾的含义理解错误(不是去掉第一个元素后剩余部分)","不涉及广义表的递归算法;不涉及m元多项式;不涉及广义表的建立算法","广义表定义与链表基础"
54,5.6 m元多项式的表示,3,"用广义表表示m元多项式,每个变量对应一层子表。可表示任意嵌套的多项式结构。","m元多项式 | 多层子表 | 变量嵌套","m元多项式(M-variate Polynomial) | 多项式广义表",,"不理解多层嵌套结构;系数和变量的层次关系搞混","不涉及广义表的递归算法;不涉及多项式的运算;不涉及广义表的存储结构","广义表的存储结构"
55,5.7 广义表的递归算法,3,"广义表的许多操作(求深度、复制、建立)都可用递归实现,递归终止条件为遇到原子节点。","递归算法 | 递归终止 | 原子节点 | 子表递归","递归算法(Recursive Algorithm) | 递归终止条件",,"递归终止条件遗漏;递归过程中对表头表尾的处理不当","不涉及广义表的定义和存储结构;不涉及非递归实现;不涉及广义表的应用","广义表定义与递归编程基础"
