node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
499,1.1 计算机网络在信息时代中的作用,3,"计算机网络是信息社会的基础设施，实现全球范围内资源共享和信息传递，支撑互联网+、大数据、云计算等应用","互联网改变生活方式 | 信息高速公路 | 数字化生存 | 网络改变工作模式 | 信息资源共享","互联网 | 信息高速公路 | 数字化","[]","混淆计算机网络与互联网的概念 | 误认为计算机网络仅用于通信","不涉及具体网络协议实现细节","需了解计算机基本操作和信息系统概念"
500,1.2 互联网概述,3,"互联网是由全球大量计算机网络互连而成的覆盖全球的网络集合，其核心是TCP/IP协议族","全球互连的网络 | 使用TCP/IP协议 | 开放的网络架构 | 由边缘部分和核心部分组成","互联网 | ISP | TCP/IP","[]","将互联网等同于万维网(WWW) | 忽略互联网的网络本质","不讨论互联网的具体应用层协议","需掌握计算机网络基本概念"
501,1.2.1 网络的网络,"互联网(Internet)是由许多计算机网络通过路由器等设备互连形成的'网络的网络'","网络互连 | 路由器互联 | 网络的网络 | 层次化结构","互联网 | 互连网 | 路由器","[]","混淆互联网(Internet)和互连网(internet) | 误认为互联网是一个单一网络","不涉及路由器内部协议","需理解网络互联基本概念"
502,1.2.2 互联网基础结构发展的三个阶段,"互联网发展经历三个阶段：第一阶段ARPANET→第二阶段三级结构→第三阶段多层次ISP结构","ARPANET诞生 | 三级结构(主干网/地区网/校园网) | 多层次ISP结构 | IXPNAP","ARPANET | NSFNET | ISP | NAP | IXP","[]","误认为互联网一开始就有多层ISP结构 | 混淆三个发展阶段的时间顺序","不涉及各阶段具体技术细节","需了解互联网发展历史背景"
503,1.2.3 互联网的标准化工作,"互联网标准由IAB下设的IETF和IRTF制定，通过RFC文档发布，标准制定经历提案标准→草案标准→互联网标准三个阶段","IAB | IETF | IRTF | RFC文档 | 标准制定流程","IAB | IETF | IRTF | RFC | STD","[]","认为所有RFC都是标准 | 混淆IETF与IRTF职责","不涉及具体标准制定的技术内容","需了解互联网组织结构"
504,1.3 互联网的组成,"互联网从工作方式分为边缘部分(端系统)和核心部分(路由器网络)，边缘部分由用户直接使用，核心部分提供连通性和交换服务","边缘部分 | 核心部分 | 端系统 | 路由器网络 | 客户-服务器方式","端系统 | 边缘部分 | 核心部分","[]","混淆边缘部分与核心部分的功能 | 误认为用户直接使用核心部分","不涉及具体网络设备实现","需掌握互联网基本组成概念"
505,1.3.1 互联网的边缘部分,"边缘部分由所有连接在互联网上的主机(端系统)组成，用户通过它进行通信和资源共享，通信方式包括客户-服务器(C/S)和对等(P2P)方式","端系统 | 客户-服务器方式 | 对等方式P2P | 通信是目的","端系统 | 客户-服务器 | P2P","[]","将边缘部分等同于个人计算机 | 混淆C/S与P2P的区别","不涉及端系统内部协议栈","需理解互联网整体架构"
506,1.3.2 互联网的核心部分,"核心部分由大量网络和路由器组成，负责为边缘部分提供连通性和数据转发服务，通过分组交换实现高效数据传输","路由器 | 分组交换 | 数据转发 | 网络互连","路由器 | 分组交换 | 存储转发","[]","误认为核心部分包含用户主机 | 混淆电路交换与分组交换","不讨论路由器路由算法细节","需掌握网络基本组成概念"
507,1.7 计算机网络在我国的发展,"我国计算机网络发展经历了起步、快速发展和成熟三个阶段，主要骨干网包括中国电信、中国联通、中国移动等","中国科技网 | 中国教育网 | 三大运营商骨干网 | 网络规模世界前列","CERNET | CHINANET | 骨干网","[]","混淆三大运营商的骨干网名称 | 误认为我国互联网起步很早","不涉及具体网络建设技术","需了解我国信息化发展背景"
508,1.5 计算机网络的类别,"计算机网络可按不同标准分类：按覆盖范围分为局域网LAN、城域网MAN、广域网WAN；按拓扑结构分为总线型、星型、环型、网状型等","局域网 | 城域网 | 广域网 | 拓扑结构 | 按作用范围分类","LAN | MAN | WAN | 拓扑","[]","混淆不同分类标准的网络类型 | 误认为WAN覆盖范围小于MAN","不讨论具体网络协议实现","需掌握网络基本概念"
509,1.5.1 计算机网络的定义,"计算机网络是将地理位置不同的、具有独立功能的多台计算机及其外部设备通过通信线路和通信设备连接起来，在网络操作系统、网络管理软件及网络通信协议的管理和协调下实现资源共享和信息传递的计算机系统","独立功能的计算机 | 通信线路连接 | 网络协议管理 | 资源共享","计算机网络 | 资源共享 | 通信协议","[]","误认为联网计算机不需独立功能 | 忽略网络协议的必要性","不涉及具体网络协议细节","需了解计算机和网络基本概念"
510,1.5.2 几种不同类别的计算机网络,"按覆盖范围分类：PAN(个人区域网)<LAN(局域网)<MAN(城域网)<WAN(广域网)<Internet；按使用者分为公用网和专用网","PAN | LAN | MAN | WAN | 公用网与专用网","PAN | LAN | MAN | WAN","[]","混淆PAN与LAN的范围 | 误认为公用网比专用网安全","不讨论各网络类型的具体实现","需掌握网络分类基本方法"
